form	lemma	POS	morph
རྟ་	རྟ་	NOUN
རི་བ་	རི་བ་	VERB
།		PUNCT
		
༷རསྡུ་		NON_WORD
།		PUNCT
སྡོ་	སྡོ་	NO_POS
༷༷་		NON_WORD
།།		PUNCT
རི་	རི་	NOUN
གླུ་	གླུ་	NOUN
སྒྱུདཔར་		NON_WORD
ཐེངས་	ཐེངས་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
ར་	ལ་	PART
དེབ་	དེབ་	NOUN
གྲངས་	གྲངས་	NOUN
		
		
།		PUNCT
		
		
		
ལ་	ལ་	ADP
འི་	གི་	PART
		
		
		
		
		
		
		
		
		
ཛི་	ཛི་	NO_POS
		
		
བསྐོཚོག་		NON_WORD
		
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
		
ཛིསྤུདམ་		NON_WORD
པུ་	པུ་	NO_POS
ཊར་		NON_WORD
འདེབས་འཛུགས་པ་	འདེབས་འཛུགས་པ་	OTHER
།		PUNCT
སེ་	སེ་	NO_POS
ར་	ལ་	PART
སྨད་	སྨད་	NOUN
དཔེ་མཛོད་	དཔེ་མཛོད་	OTHER
ཁང་	ཁང་	NOUN
གི་	གི་	PART
དམ་	དམ་	PART
པུ་	པུ་	NO_POS
ཊར་		NON_WORD
སྡེ་ཚན་	སྡེ་ཚན་	NOUN
།		PUNCT
		
བ་	བ་	X
འི་	གི་	PART
ཁྱ་	ཁྱ་	NO_POS
		
		
བ་	བ་	X
		
བཐ་		NON_WORD
སྦྱིའི་		NON_WORD
		
ཅོ་	ཅོ་	NOUN
		
		
པོ་	པོ་	PART
		
		
		
		
གསབ་	གསབ་	NO_POS
		
ཁུཁུ་		NON_WORD
སྒྱུསེར་		NON_WORD
སྨད་	སྨད་	NOUN
དཔེ་མཛོད་	དཔེ་མཛོད་	OTHER
ཁང་	ཁང་	NOUN
ན་	ནས་	PART
དཔའ་		
བསྐྲུན་	བསྐྲུན་	NO_POS
ཞུ་	ཞུ་	VERB
།		PUNCT
		
		
		
སྨོ་		NON_WORD
		
བ་	བ་	X
		
		
		
		
བ་	བ་	X
		
		
		
པོ་	པོ་	PART
		
		
		
ཁུ་	ཁུ་	PROPN
		
།		PUNCT
བྱ་	བྱ་	VERB
		
		
བ་	བ་	X
འི་	གི་	PART
མཐ་	མཐའ་	NOUN
འི་	གི་	PART
བྱ་	བྱ་	VERB
		
སྨོ་		NON_WORD
		
བསྐུ་	བསྐུ་	NO_POS
		
བ་	བ་	X
ཛིསྤུའི་		NON_WORD
		
		
བསྐུའིསྨོ་		NON_WORD
		
		
		
		
		
		
ཁུ་	ཁུ་	PROPN
འི་	གི་	PART
		
ཡ་	ཡ་	NOUN
		
པ་	པ་	OTHER
འི་	གི་	PART
བསྐུ་	བསྐུ་	NO_POS
		
		
ཁྱི་	ཁྱི་	NOUN
འི་	གི་	PART
		
